Real Close,Datetime,Company,Predicted Close (Linear Regression),Predicted Close (Decision Tree),Predicted Close (Random Forest),Predicted Close (Gradient Boosting)
177.333,2024-05-14 17:20:00,TSLA,177.67825887183287,177.63,177.32086999999999,177.09813102946572
177.27,2024-05-14 17:25:00,TSLA,178.08355452062582,177.63,177.23514999999995,177.07322566540216
177.26,2024-05-14 17:30:00,TSLA,177.59513503779655,177.63,177.41482,177.05160696142985
177.265,2024-05-14 17:35:00,TSLA,176.78175508711536,177.37,177.49712,177.0923213629448
177.28,2024-05-14 17:40:00,TSLA,177.21237085707943,177.37,177.26068999999995,177.0852529101217
177.275,2024-05-14 17:45:00,TSLA,177.12275546318529,177.31,177.30258000000006,177.11722672700836
177.3,2024-05-14 17:50:00,TSLA,177.48675520018838,177.63,177.32459999999995,177.12154854278995
177.335,2024-05-14 17:55:00,TSLA,177.3856668186851,177.63,177.6757400000001,177.15126355978032
177.4,2024-05-14 18:00:00,TSLA,177.41640838253375,177.63,177.33872000000008,177.1617296976108
177.4,2024-05-14 18:05:00,TSLA,177.29773486574234,177.26,177.3250600000001,177.1617296976108
177.47,2024-05-14 18:10:00,TSLA,177.2560963011929,177.51,177.41232000000008,177.4284751904298
177.46,2024-05-14 18:15:00,TSLA,177.40492482346767,177.525,177.77548000000002,177.4239895522466
177.45,2024-05-14 18:20:00,TSLA,177.40006697302357,177.525,177.4188300000001,177.42038627005206
177.43,2024-05-14 18:25:00,TSLA,177.32981260301233,177.525,177.40787000000003,177.42603865008547
177.36,2024-05-14 18:30:00,TSLA,177.238726200051,177.525,177.41270999999998,177.43315682411102
177.41,2024-05-14 18:35:00,TSLA,177.6104126310733,177.37,177.52698999999993,177.16723079317444
177.38,2024-05-14 18:40:00,TSLA,177.4467160657939,177.37,177.34380999999996,177.1601126191489
177.395,2024-05-14 18:45:00,TSLA,177.5149639194298,177.37,177.36080999999996,177.1601126191489
177.405,2024-05-14 18:50:00,TSLA,177.49908038506913,177.37,177.35505999999995,177.1601126191489
177.415,2024-05-14 18:55:00,TSLA,177.46140389496682,177.37,177.32290999999998,177.1536550486359
177.43,2024-05-14 19:00:00,TSLA,177.37824952300986,177.34,177.35258999999994,177.42603865008547
177.42,2024-05-14 19:05:00,TSLA,177.3632289420825,177.34,177.5299899999999,177.42603865008547
177.46,2024-05-14 19:10:00,TSLA,177.37535173844606,177.34,177.53138999999996,177.42603865008547
177.61,2024-05-14 19:15:00,TSLA,177.46996173155705,177.34,177.37919,177.4333081085808
177.75,2024-05-14 19:20:00,TSLA,177.6906503572464,177.66,177.51912999999996,177.9053504312791
177.77,2024-05-14 19:25:00,TSLA,177.80175588714292,177.66,177.54297,177.90256661096694
177.75,2024-05-14 19:30:00,TSLA,177.72373754534698,178.178,177.67748,177.89808097278376
177.79,2024-05-14 19:35:00,TSLA,177.68870914252372,178.178,177.87797999999998,177.89808097278376
177.9,2024-05-14 19:40:00,TSLA,177.77013822786725,178.178,177.72789999999998,177.9053504312791
177.79,2024-05-14 19:45:00,TSLA,177.81444577075743,178.178,177.91145,177.9053504312791
177.995,2024-05-14 19:50:00,TSLA,177.93628762044915,178.178,177.7617,177.89808097278376
178.4,2024-05-14 19:55:00,TSLA,178.2014872457177,178.178,177.78840000000002,177.95266111221406
187.608,2024-05-14 15:00:00,AAPL,187.59019277790534,187.53,187.4800900000001,187.44497659390376
187.765,2024-05-14 15:05:00,AAPL,187.70242502780718,187.53,187.4758600000001,187.43868563778372
187.665,2024-05-14 15:10:00,AAPL,187.7171699006425,187.53,187.4824300000001,187.43106460489082
187.745,2024-05-14 15:15:00,AAPL,187.72255396215462,187.53,187.49178000000003,187.41519767408744
187.779,2024-05-14 15:20:00,AAPL,187.699375661071,187.53,187.49297000000007,187.41148745316454
187.745,2024-05-14 15:25:00,AAPL,187.766799951168,187.53,187.49375000000003,187.4175532718236
187.825,2024-05-14 15:30:00,AAPL,187.76973403852,187.53,187.50080000000005,187.41148745316454
187.745,2024-05-14 15:35:00,AAPL,187.74863303786933,187.53,187.49772000000004,187.4156532718236
187.835,2024-05-14 15:40:00,AAPL,187.80467718429853,187.53,187.49543000000003,187.4156532718236
187.75,2024-05-14 15:45:00,AAPL,187.73263247932078,187.53,187.49185000000006,187.4156532718236
