Datetime,Company,Low,Open,High,Close,Volume
2024-04-19 10:00:00,IBM,182.3,182.5,182.51,182.46,22240
2024-04-19 10:05:00,IBM,182.4,182.515,182.68,182.5,19601
2024-04-19 10:10:00,IBM,182.39,182.475,182.54,182.54,30352
2024-04-19 10:15:00,IBM,182.331,182.54,182.598,182.38,26812
2024-04-19 10:20:00,IBM,182.165,182.33,182.37,182.18,19756
2024-04-19 10:25:00,IBM,181.9,182.21,182.23,182.16,23759
2024-04-19 10:30:00,IBM,182.051,182.19,182.36,182.1,24179
2024-04-19 10:35:00,IBM,181.86,182.06,182.07,181.905,17069
2024-04-19 10:40:00,IBM,181.93,181.99,182.19,182.11,29682
2024-04-19 10:45:00,IBM,182.18,182.18,182.43,182.32,16718
2024-04-19 10:50:00,IBM,182.18,182.32,182.39,182.26,16674
2024-04-19 10:55:00,IBM,181.96,182.23,182.24,182.09,19885
2024-04-19 11:00:00,IBM,181.81,182.04,182.07,181.82,17187
2024-04-19 11:05:00,IBM,181.79,181.81,182.13,182.13,14442
2024-04-19 11:10:00,IBM,182.02,182.11,182.22,182.085,18439
2024-04-19 11:15:00,IBM,181.79,182.11,182.15,181.79,17515
2024-04-19 11:20:00,IBM,181.765,181.82,181.95,181.89,14492
2024-04-19 11:25:00,IBM,181.85,181.855,182.01,182.01,9693
2024-04-19 11:30:00,IBM,181.98,181.98,182.15,182.0,16057
2024-04-19 11:35:00,IBM,181.83,181.957,182.15,182.15,14207
2024-04-19 11:40:00,IBM,182.0,182.15,182.3,182.15,15925
2024-04-19 11:45:00,IBM,182.14,182.165,182.24,182.23,16180
2024-04-19 11:50:00,IBM,181.94,182.25,182.29,181.95,17140
2024-04-19 11:55:00,IBM,181.745,181.97,181.97,181.8,11387
2024-04-19 12:00:00,IBM,181.76,181.76,181.98,181.86,12779
2024-04-19 12:05:00,IBM,181.67,181.87,181.931,181.89,25225
2024-04-19 12:10:00,IBM,181.435,181.87,181.87,181.435,34271
2024-04-19 12:15:00,IBM,181.16,181.45,181.53,181.16,22021
2024-04-19 12:20:00,IBM,180.91,181.13,181.18,180.95,32435
2024-04-19 12:25:00,IBM,180.9,181.01,181.14,180.92,42917
2024-04-19 12:30:00,IBM,180.86,180.95,181.136,180.99,15828
2024-04-19 12:35:00,IBM,180.69,180.99,181.04,180.71,22622
2024-04-19 12:40:00,IBM,180.72,180.75,181.03,180.92,14083
2024-04-19 12:45:00,IBM,180.81,180.89,181.11,181.09,26866
2024-04-19 12:50:00,IBM,181.085,181.085,181.6,181.28,16707
2024-04-19 12:55:00,IBM,181.28,181.28,181.565,181.545,15503
2024-04-19 13:00:00,IBM,181.46,181.52,181.665,181.58,25863
2024-04-19 13:05:00,IBM,181.49,181.56,181.6,181.58,17080
2024-04-19 13:10:00,IBM,181.5,181.61,181.67,181.6,17986
2024-04-19 13:15:00,IBM,181.44,181.545,181.8,181.8,38035
2024-04-19 13:20:00,IBM,181.64,181.76,181.79,181.715,8929
2024-04-19 13:25:00,IBM,181.435,181.75,181.805,181.44,16938
2024-04-19 13:30:00,IBM,181.43,181.43,181.66,181.54,16182
2024-04-19 13:35:00,IBM,181.37,181.524,181.54,181.37,14113
2024-04-19 13:40:00,IBM,181.34,181.39,181.46,181.46,14590
2024-04-19 13:45:00,IBM,181.47,181.48,181.76,181.74,13267
2024-04-19 13:50:00,IBM,181.76,181.79,182.11,182.05,17689
2024-04-19 13:55:00,IBM,181.72,182.09,182.17,181.89,25280
2024-04-19 14:00:00,IBM,181.61,181.9,181.93,181.67,39796
2024-04-19 14:05:00,IBM,181.67,181.74,182.09,181.89,22141
2024-04-19 14:10:00,IBM,181.74,181.94,181.96,181.75,11829
2024-04-19 14:15:00,IBM,181.66,181.77,181.92,181.92,12618
2024-04-19 14:20:00,IBM,181.78,181.88,181.95,181.87,17958
2024-04-19 14:25:00,IBM,181.6,181.83,181.87,181.61,19472
2024-04-19 14:30:00,IBM,181.54,181.65,181.79,181.59,15863
2024-04-19 14:35:00,IBM,181.32,181.57,181.625,181.38,23125
2024-04-19 14:40:00,IBM,181.23,181.35,181.39,181.23,32312
2024-04-19 14:45:00,IBM,181.13,181.2,181.3,181.29,28962
2024-04-19 14:50:00,IBM,181.12,181.29,181.41,181.23,23473
2024-04-19 14:55:00,IBM,181.18,181.2,181.49,181.385,27803
2024-04-19 15:00:00,IBM,181.24,181.35,181.415,181.29,17124
2024-04-19 15:05:00,IBM,181.11,181.27,181.35,181.31,22895
2024-04-19 15:10:00,IBM,181.21,181.27,181.43,181.33,28436
2024-04-19 15:15:00,IBM,181.145,181.31,181.32,181.31,31183
2024-04-19 15:20:00,IBM,181.24,181.37,181.44,181.24,25271
2024-04-19 15:25:00,IBM,181.175,181.25,181.485,181.33,34657
2024-04-19 15:30:00,IBM,181.11,181.33,181.35,181.18,49520
2024-04-19 15:35:00,IBM,180.88,181.18,181.24,180.98,56716
2024-04-19 15:40:00,IBM,180.64,180.96,180.97,180.83,69614
2024-04-19 15:45:00,IBM,180.57,180.82,180.82,180.68,96146
2024-04-19 15:50:00,IBM,180.65,180.66,181.23,181.23,94608
2024-04-19 15:55:00,IBM,181.17,181.23,181.66,181.59,262914
2024-04-19 16:00:00,IBM,181.58,181.59,181.63,181.58,1120380
2024-04-19 16:05:00,IBM,181.03,181.58,181.58,181.58,3845
2024-04-19 16:10:00,IBM,181.03,181.58,181.65,181.03,495665
2024-04-19 16:15:00,IBM,180.5,181.58,181.58,180.5,24
2024-04-19 16:25:00,IBM,181.0,181.53,181.53,181.45,1057
2024-04-19 16:30:00,IBM,181.5,181.5,181.95,181.95,244
2024-04-19 16:35:00,IBM,181.6,181.75,181.75,181.61,395
2024-04-19 16:40:00,IBM,181.59,181.59,181.75,181.75,104
2024-04-19 16:45:00,IBM,181.6,181.6,181.62,181.6,187
2024-04-19 16:50:00,IBM,181.3,181.59,181.59,181.3,12
2024-04-19 16:55:00,IBM,181.3,181.58,181.75,181.75,769
2024-04-19 17:05:00,IBM,181.59,181.59,181.73,181.7,40
2024-04-19 17:10:00,IBM,181.58,181.61,181.61,181.61,8
2024-04-19 17:15:00,IBM,181.58,181.61,181.61,181.58,4
2024-04-19 17:20:00,IBM,181.6,181.61,181.61,181.6,7
2024-04-19 17:45:00,IBM,181.58,181.75,181.75,181.58,25
2024-04-19 17:55:00,IBM,181.185,181.581,181.7,181.7,40103
2024-04-19 18:05:00,IBM,181.61,181.61,181.61,181.61,4
2024-04-19 18:30:00,IBM,181.58,181.58,181.58,181.58,495658
2024-04-19 18:40:00,IBM,181.75,181.75,181.75,181.75,22
2024-04-19 18:50:00,IBM,181.55,181.55,181.55,181.55,33
2024-04-19 18:55:00,IBM,181.6,181.6,181.6,181.6,2
2024-04-19 19:00:00,IBM,181.57,181.58,181.58,181.58,495712
2024-04-19 19:20:00,IBM,181.2,181.58,181.58,181.2,45
2024-04-19 19:25:00,IBM,181.56,181.56,181.56,181.56,1
2024-04-19 19:30:00,IBM,181.56,181.56,181.56,181.56,20
